web-scraper-order,web-scraper-start-url,selector1
"1657196981-647","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","2"
"1657196981-558","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(1)"
"1657196981-261","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","West Ham"
"1657196981-122","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","0"
"1657196981-560","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","05.04. 15:00"
"1657196981-505","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","West Brom"
"1657196981-380","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Middlesbrough"
"1657196981-417","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-733","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-181","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(1)"
"1657196981-336","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","21.04. 15:00"
"1657196981-250","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(3)"
"1657196981-455","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","16.04. 20:00"
"1657196981-205","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","West Brom"
"1657196981-328","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-682","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-808","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","2"
"1657196981-177","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Southampton"
"1657196981-759","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","0"
"1657196981-567","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","05.04. 15:00"
"1657196981-137","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","2"
"1657196981-819","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","23.02. 16:05"
"1657196981-111","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-374","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","2"
"1657196981-407","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Everton"
"1657196981-436","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Leeds"
"1657196981-114","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Middlesbrough"
"1657196981-247","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Charlton"
"1657196981-765","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Charlton"
"1657196981-534","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Newcastle"
"1657196981-438","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","2"
"1657196981-539","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","05.04. 15:00"
"1657196981-347","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-813","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Tottenham"
"1657196981-490","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","12.04. 15:00"
"1657196981-590","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Man City"
"1657196981-577","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","2"
"1657196981-298","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","3"
"1657196981-588","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","05.04. 12:00"
"1657196981-597","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Tottenham"
"1657196981-507","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-712","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(1)"
"1657196981-799","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","West Ham"
