Team1,Team2,Winner,Loser,Margin,Ground,Date,Scorecard,MatchCount,Country,New Zealand
Australia,New Zealand,Australia,New Zealand,3 runs,Indore,10/18/1987,ODI # 462,462,India,New Zealand
New Zealand,Zimbabwe,New Zealand,Zimbabwe,4 wickets,Eden Gardens,10/23/1987,ODI # 466,466,India,New Zealand
Australia,New Zealand,Australia,New Zealand,17 runs,Chandigarh,10/27/1987,ODI # 470,470,India,New Zealand
India,New Zealand,India,New Zealand,9 wickets,Nagpur,10/31/1987,ODI # 474,474,India,New Zealand
Australia,New Zealand,New Zealand,Australia,1 run,Perth,1/3/1988,ODI # 485,485,Australia,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,6 wickets,Sydney,1/5/1988,ODI # 486,486,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,6 runs,Melbourne,1/7/1988,ODI # 488,488,Australia,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,4 wickets,Adelaide,1/9/1988,ODI # 490,490,Australia,New Zealand
New Zealand,Sri Lanka,Sri Lanka,New Zealand,4 wickets,Hobart,1/12/1988,ODI # 492,492,Australia,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,4 wickets,Brisbane,1/16/1988,ODI # 494,494,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,5 wickets,Brisbane,1/17/1988,ODI # 495,495,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,78 runs,Sydney,1/20/1988,ODI # 498,498,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,8 wickets,Melbourne,1/22/1988,ODI # 499,499,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,6 wickets,Sydney,1/24/1988,ODI # 501,501,Australia,New Zealand
New Zealand,England,England,New Zealand,5 wickets,Dunedin,3/9/1988,ODI # 504,504,New Zealand,New Zealand
New Zealand,England,England,New Zealand,6 wickets,Christchurch,3/12/1988,ODI # 505,505,New Zealand,New Zealand
New Zealand,England,New Zealand,England,7 wickets,Napier,3/16/1988,ODI # 508,508,New Zealand,New Zealand
New Zealand,England,New Zealand,England,4 wickets,Auckland,3/19/1988,ODI # 510,510,New Zealand,New Zealand
India,New Zealand,India,New Zealand,73 runs,Sharjah,3/27/1988,ODI # 513,513,United Arab Emirates,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,99 runs,Sharjah,3/29/1988,ODI # 514,514,United Arab Emirates,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,43 runs,Sharjah,3/31/1988,ODI # 516,516,United Arab Emirates,New Zealand
India,New Zealand,India,New Zealand,52 runs,Sharjah,4/1/1988,ODI # 517,517,United Arab Emirates,New Zealand
India,New Zealand,India,New Zealand,4 wickets,Visakhapatnam,12/10/1988,ODI # 536,536,India,New Zealand
India,New Zealand,India,New Zealand,5 wickets,Cuttack,12/12/1988,ODI # 538,538,India,New Zealand
