,Australia,England,New Zealand,Pakistan,West Indies,India,Sri Lanka,South Africa,Zimbabwe,Bangladesh,Ireland,Canada,Scotland,Afghanistan,Netherlands,East Africa,U.A.E.,Kenya,Namibia
2003-11-18,32,188,28,31,28,23,18,10,16,4,0,1,0,0,2,1,1,1,1
2004-04-18,32,188,28,31,29,23,18,10,16,4,0,1,0,0,2,1,1,1,1
2004-04-24,32,188,28,31,30,23,18,10,16,4,0,1,0,0,2,1,1,1,1
2004-05-01,32,189,28,31,30,23,18,10,16,4,0,1,0,0,2,1,1,1,1
2004-05-02,32,190,28,31,30,23,18,10,16,4,0,1,0,0,2,1,1,1,1
2004-05-05,32,190,28,31,31,23,18,10,16,4,0,1,0,0,2,1,1,1,1
2004-06-27,32,191,28,31,31,23,18,10,16,4,0,1,0,0,2,1,1,1,1
2004-06-29,32,192,28,31,31,23,18,10,16,4,0,1,0,0,2,1,1,1,1
2004-07-01,32,192,28,31,32,23,18,10,16,4,0,1,0,0,2,1,1,1,1
2004-07-04,32,193,28,31,32,23,18,10,16,4,0,1,0,0,2,1,1,1,1
2004-07-06,32,194,28,31,32,23,18,10,16,4,0,1,0,0,2,1,1,1,1
2004-09-01,32,194,28,31,32,24,18,10,16,4,0,1,0,0,2,1,1,1,1
2004-09-03,32,194,28,31,32,25,18,10,16,4,0,1,0,0,2,1,1,1,1
2004-09-05,32,195,28,31,32,25,18,10,16,4,0,1,0,0,2,1,1,1,1
2004-09-10,32,195,28,31,32,25,18,10,17,4,0,1,0,0,2,1,1,1,1
2004-09-17,32,195,28,31,32,25,19,10,17,4,0,1,0,0,2,1,1,1,1
2004-09-21,33,195,28,31,32,25,19,10,17,4,0,1,0,0,2,1,1,1,1
2004-09-25,33,196,28,31,32,25,19,10,17,4,0,1,0,0,2,1,1,1,1
2004-11-28,33,196,28,31,32,25,19,10,18,4,0,1,0,0,2,1,1,1,1
2004-12-01,33,196,28,31,32,25,19,10,19,4,0,1,0,0,2,1,1,1,1
2004-12-04,33,196,28,31,32,25,19,10,20,4,0,1,0,0,2,1,1,1,1
2004-12-05,33,196,28,31,32,25,19,10,21,4,0,1,0,0,2,1,1,1,1
2005-01-30,33,196,28,31,32,25,19,11,21,4,0,1,0,0,2,1,1,1,1
2005-02-02,33,196,28,31,32,25,19,12,21,4,0,1,0,0,2,1,1,1,1
2005-02-04,33,197,28,31,32,25,19,12,21,4,0,1,0,0,2,1,1,1,1
2005-02-06,33,198,28,31,32,25,19,12,21,4,0,1,0,0,2,1,1,1,1
2005-02-09,33,199,28,31,32,25,19,12,21,4,0,1,0,0,2,1,1,1,1
2005-02-11,33,199,28,31,32,25,19,13,21,4,0,1,0,0,2,1,1,1,1
2005-02-13,33,200,28,31,32,25,19,13,21,4,0,1,0,0,2,1,1,1,1
2005-06-16,33,200,28,31,32,25,19,13,21,5,0,1,0,0,2,1,1,1,1
2005-06-19,34,200,28,31,32,25,19,13,21,5,0,1,0,0,2,1,1,1,1
2005-06-21,34,200,28,31,32,25,19,13,21,6,0,1,0,0,2,1,1,1,1
2005-06-23,34,201,28,31,32,25,19,13,21,6,0,1,0,0,2,1,1,1,1
2005-06-26,34,201,28,31,32,25,19,13,21,7,0,1,0,0,2,1,1,1,1
2005-06-28,34,202,28,31,32,25,19,13,21,7,0,1,0,0,2,1,1,1,1
2005-07-02,34,203,28,31,32,25,19,13,21,7,0,1,0,0,2,1,1,1,1
2005-07-07,35,203,28,31,32,25,19,13,21,7,0,1,0,0,2,1,1,1,1
2005-07-10,35,204,28,31,32,25,19,13,21,7,0,1,0,0,2,1,1,1,1
2005-07-12,35,205,28,31,32,25,19,13,21,7,0,1,0,0,2,1,1,1,1
2005-12-10,35,205,28,32,32,25,19,13,21,7,0,1,0,0,2,1,1,1,1
2005-12-12,35,206,28,32,32,25,19,13,21,7,0,1,0,0,2,1,1,1,1
2005-12-15,35,207,28,32,32,25,19,13,21,7,0,1,0,0,2,1,1,1,1
2005-12-19,35,208,28,32,32,25,19,13,21,7,0,1,0,0,2,1,1,1,1
2005-12-21,35,208,28,33,32,25,19,13,21,7,0,1,0,0,2,1,1,1,1
2006-03-28,35,209,28,33,32,25,19,13,21,7,0,1,0,0,2,1,1,1,1
2006-03-31,35,210,28,33,32,25,19,13,21,7,0,1,0,0,2,1,1,1,1
2006-04-03,35,211,28,33,32,25,19,13,21,7,0,1,0,0,2,1,1,1,1
2006-04-06,35,212,28,33,32,25,19,13,21,7,0,1,0,0,2,1,1,1,1
2006-04-12,35,212,28,33,32,26,19,13,21,7,0,1,0,0,2,1,1,1,1
2006-04-15,35,213,28,33,32,26,19,13,21,7,0,1,0,0,2,1,1,1,1
2006-06-13,35,213,28,33,32,26,19,13,21,7,1,1,0,0,2,1,1,1,1
2006-06-17,35,214,28,33,32,26,19,13,21,7,1,1,0,0,2,1,1,1,1
2006-06-20,35,215,28,33,32,26,19,13,21,7,1,1,0,0,2,1,1,1,1
2006-06-24,35,216,28,33,32,26,19,13,21,7,1,1,0,0,2,1,1,1,1
2006-06-28,35,217,28,33,32,26,19,13,21,7,1,1,0,0,2,1,1,1,1
2006-07-01,35,218,28,33,32,26,19,13,21,7,1,1,0,0,2,1,1,1,1
2006-08-30,35,219,28,33,32,26,19,13,21,7,1,1,0,0,2,1,1,1,1
2006-09-02,35,220,28,33,32,26,19,13,21,7,1,1,0,0,2,1,1,1,1
2006-09-05,35,221,28,33,32,26,19,13,21,7,1,1,0,0,2,1,1,1,1
2006-09-08,35,221,28,34,32,26,19,13,21,7,1,1,0,0,2,1,1,1,1
2006-09-10,35,221,28,35,32,26,19,13,21,7,1,1,0,0,2,1,1,1,1
2006-10-15,35,222,28,35,32,26,19,13,21,7,1,1,0,0,2,1,1,1,1
2006-10-21,35,223,28,35,32,26,19,13,21,7,1,1,0,0,2,1,1,1,1
2006-10-28,35,223,28,35,33,26,19,13,21,7,1,1,0,0,2,1,1,1,1
2007-01-12,35,224,28,35,33,26,19,13,21,7,1,1,0,0,2,1,1,1,1
2007-01-16,35,224,29,35,33,26,19,13,21,7,1,1,0,0,2,1,1,1,1
2007-01-19,35,225,29,35,33,26,19,13,21,7,1,1,0,0,2,1,1,1,1
2007-01-23,35,226,29,35,33,26,19,13,21,7,1,1,0,0,2,1,1,1,1
2007-01-26,35,227,29,35,33,26,19,13,21,7,1,1,0,0,2,1,1,1,1
2007-01-30,35,228,29,35,33,26,19,13,21,7,1,1,0,0,2,1,1,1,1
2007-02-02,36,228,29,35,33,26,19,13,21,7,1,1,0,0,2,1,1,1,1
2007-02-06,36,228,30,35,33,26,19,13,21,7,1,1,0,0,2,1,1,1,1
2007-02-09,37,228,30,35,33,26,19,13,21,7,1,1,0,0,2,1,1,1,1
2007-02-11,38,228,30,35,33,26,19,13,21,7,1,1,0,0,2,1,1,1,1
2007-03-16,38,229,30,35,33,26,19,13,21,7,1,1,0,0,2,1,1,1,1
2007-03-18,38,229,30,35,33,26,19,13,21,7,1,2,0,0,2,1,1,1,1
