Team1,Team2,Winner,Result,Venue,Date,MatchNumber
New Zealand,West Indies,West Indies,61 runs,Lauderhill,2012-07-01,T20I # 248
Ireland,Bangladesh,Bangladesh,71 runs,Belfast,2012-07-18,T20I # 249
Ireland,Bangladesh,Bangladesh,1 run,Belfast,2012-07-20,T20I # 250
Ireland,Bangladesh,Bangladesh,2 wickets,Belfast,2012-07-21,T20I # 251
Bangladesh,Scotland,Scotland,34 runs,The Hague,2012-07-24,T20I # 252
Netherlands,Bangladesh,Bangladesh,8 wickets,The Hague,2012-07-25,T20I # 253
Netherlands,Bangladesh,Netherlands,1 wicket,The Hague,2012-07-26,T20I # 254
Sri Lanka,India,India,39 runs,Pallekele,2012-08-07,T20I # 255
Australia,Pakistan,Pakistan,7 wickets,Dubai (DSC),2012-09-05,T20I # 256
Australia,Pakistan,tied,,Dubai (DSC),2012-09-07,T20I # 257
England,South Africa,South Africa,7 wickets,Chester-le-Street,2012-09-08,T20I # 258
Australia,Pakistan,Australia,94 runs,Dubai (DSC),2012-09-10,T20I # 259
England,South Africa,no result,,Manchester,2012-09-10,T20I # 260
India,New Zealand,New Zealand,1 run,Chennai,2012-09-11,T20I # 261
England,South Africa,England,28 runs,Birmingham,2012-09-12,T20I # 262
Sri Lanka,Zimbabwe,Sri Lanka,82 runs,Hambantota,2012-09-18,T20I # 263
Australia,Ireland,Australia,7 wickets,Colombo (RPS),2012-09-19,T20I # 264
Afghanistan,India,India,23 runs,Colombo (RPS),2012-09-19,T20I # 265
South Africa,Zimbabwe,South Africa,10 wickets,Hambantota,2012-09-20,T20I # 266
Bangladesh,New Zealand,New Zealand,59 runs,Pallekele,2012-09-21,T20I # 267
Afghanistan,England,England,116 runs,Colombo (RPS),2012-09-21,T20I # 268
Sri Lanka,South Africa,South Africa,32 runs,Hambantota,2012-09-22,T20I # 269
Australia,West Indies,Australia,17 runs,Colombo (RPS),2012-09-22,T20I # 270
New Zealand,Pakistan,Pakistan,13 runs,Pallekele,2012-09-23,T20I # 271
England,India,India,90 runs,Colombo (RPS),2012-09-23,T20I # 272
Ireland,West Indies,no result,,Colombo (RPS),2012-09-24,T20I # 273
Bangladesh,Pakistan,Pakistan,8 wickets,Pallekele,2012-09-25,T20I # 274
Sri Lanka,New Zealand,tied,,Pallekele,2012-09-27,T20I # 275
England,West Indies,West Indies,15 runs,Pallekele,2012-09-27,T20I # 276
Pakistan,South Africa,Pakistan,2 wickets,Colombo (RPS),2012-09-28,T20I # 277
Australia,India,Australia,9 wickets,Colombo (RPS),2012-09-28,T20I # 278
England,New Zealand,England,6 wickets,Pallekele,2012-09-29,T20I # 279
Sri Lanka,West Indies,Sri Lanka,9 wickets,Pallekele,2012-09-29,T20I # 280
Australia,South Africa,Australia,8 wickets,Colombo (RPS),2012-09-30,T20I # 281
India,Pakistan,India,8 wickets,Colombo (RPS),2012-09-30,T20I # 282
New Zealand,West Indies,tied,,Pallekele,2012-10-01,T20I # 283
Sri Lanka,England,Sri Lanka,19 runs,Pallekele,2012-10-01,T20I # 284
Australia,Pakistan,Pakistan,32 runs,Colombo (RPS),2012-10-02,T20I # 285
India,South Africa,India,1 run,Colombo (RPS),2012-10-02,T20I # 286
Sri Lanka,Pakistan,Sri Lanka,16 runs,Colombo (RPS),2012-10-04,T20I # 287
Australia,West Indies,West Indies,74 runs,Colombo (RPS),2012-10-05,T20I # 288
Sri Lanka,West Indies,West Indies,36 runs,Colombo (RPS),2012-10-07,T20I # 289
Sri Lanka,New Zealand,no result,,Pallekele,2012-10-30,T20I # 290
Bangladesh,West Indies,West Indies,18 runs,Mirpur,2012-12-10,T20I # 291
India,England,India,5 wickets,Pune,2012-12-20,T20I # 292
South Africa,New Zealand,South Africa,8 wickets,Durban,2012-12-21,T20I # 293
India,England,England,6 wickets,Wankhede,2012-12-22,T20I # 294
South Africa,New Zealand,New Zealand,8 wickets,East London,2012-12-23,T20I # 295
India,Pakistan,Pakistan,5 wickets,Bengaluru,2012-12-25,T20I # 296
South Africa,New Zealand,South Africa,33 runs,Gqeberha,2012-12-26,T20I # 297
India,Pakistan,India,11 runs,Ahmedabad,2012-12-28,T20I # 298
Australia,Sri Lanka,Sri Lanka,5 wickets,Sydney,2013-01-26,T20I # 299
Australia,Sri Lanka,Sri Lanka,2 runs,Melbourne,2013-01-28,T20I # 300
New Zealand,England,England,40 runs,Auckland,2013-02-09,T20I # 301
New Zealand,England,New Zealand,55 runs,Hamilton,2013-02-12,T20I # 302
Australia,West Indies,West Indies,27 runs,Brisbane,2013-02-13,T20I # 303
New Zealand,England,England,10 wickets,Wellington,2013-02-15,T20I # 304
West Indies,Zimbabwe,West Indies,8 wickets,North Sound,2013-03-02,T20I # 305
South Africa,Pakistan,Pakistan,95 runs,Centurion,2013-03-03,T20I # 306
Afghanistan,Scotland,Afghanistan,27 runs,Sharjah,2013-03-03,T20I # 307
West Indies,Zimbabwe,West Indies,41 runs,North Sound,2013-03-03,T20I # 308
Afghanistan,Scotland,Afghanistan,7 wickets,Sharjah,2013-03-04,T20I # 309
Canada,Kenya,Canada,5 wickets,ICCA Dubai,2013-03-15,T20I # 310
Canada,Kenya,Kenya,21 runs,ICCA Dubai,2013-03-16,T20I # 311
Sri Lanka,Bangladesh,Sri Lanka,17 runs,Pallekele,2013-03-31,T20I # 312
Kenya,Netherlands,Kenya,5 wickets,Windhoek,2013-04-19,T20I # 313
Kenya,Netherlands,Kenya,7 wickets,Windhoek,2013-04-20,T20I # 314
Zimbabwe,Bangladesh,Zimbabwe,6 runs,Bulawayo,2013-05-11,T20I # 315
Zimbabwe,Bangladesh,Bangladesh,34 runs,Bulawayo,2013-05-12,T20I # 316
England,New Zealand,New Zealand,5 runs,The Oval,2013-06-25,T20I # 317
England,New Zealand,no result,,The Oval,2013-06-27,T20I # 318
Scotland,Kenya,Scotland,35 runs,Aberdeen,2013-07-04,T20I # 319
Scotland,Kenya,Scotland,7 wickets,Aberdeen,2013-07-05,T20I # 320
West Indies,Pakistan,Pakistan,2 wickets,Kingstown,2013-07-27,T20I # 321
West Indies,Pakistan,Pakistan,11 runs,Kingstown,2013-07-28,T20I # 322
Sri Lanka,South Africa,South Africa,12 runs,Colombo (RPS),2013-08-02,T20I # 323
Sri Lanka,South Africa,South Africa,22 runs,Hambantota,2013-08-04,T20I # 324
Sri Lanka,South Africa,Sri Lanka,6 wickets,Hambantota,2013-08-06,T20I # 325
Zimbabwe,Pakistan,Pakistan,25 runs,Harare,2013-08-23,T20I # 326
Zimbabwe,Pakistan,Pakistan,19 runs,Harare,2013-08-24,T20I # 327
England,Australia,Australia,39 runs,Southampton,2013-08-29,T20I # 328
England,Australia,England,27 runs,Chester-le-Street,2013-08-31,T20I # 329
Afghanistan,Kenya,Afghanistan,106 runs,Sharjah,2013-09-30,T20I # 330
India,Australia,India,6 wickets,Rajkot,2013-10-10,T20I # 331
Afghanistan,Kenya,Kenya,34 runs,Sharjah,2013-10-11,T20I # 332
Bangladesh,New Zealand,New Zealand,15 runs,Mirpur,2013-11-06,T20I # 333
Pakistan,South Africa,South Africa,9 wickets,Dubai (DSC),2013-11-13,T20I # 334
Afghanistan,Netherlands,Netherlands,7 wickets,Sharjah,2013-11-15,T20I # 335
Pakistan,South Africa,South Africa,6 runs,Dubai (DSC),2013-11-15,T20I # 336
Afghanistan,Scotland,Afghanistan,17 runs,Sharjah,2013-11-16,T20I # 337
