web-scraper-order,web-scraper-start-url,espn2,espn2-href,espn3,espn3-href,BATSMEN,Runs,Balls,Minutes,Fours,Sixes,StrikeRate
"1603230768-3897","https://stats.espncricinfo.com/ci/content/records/307847.html","2017","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2017;type=year","Test # 2289","https://stats.espncricinfo.com/ci/engine/match/1072308.html","","null","null","null","null","null","null"
"1603231696-8926","https://stats.espncricinfo.com/ci/content/records/307847.html","2012","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2012;type=year","Test # 2058","https://stats.espncricinfo.com/ci/engine/match/565806.html","SR Tendulkar","13","18","25","2","0","72.22"
"1603231361-7085","https://stats.espncricinfo.com/ci/content/records/307847.html","2014","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2014;type=year","Test # 2141","https://stats.espncricinfo.com/ci/engine/match/760781.html","","null","null","null","null","null","null"
"1603230802-4101","https://stats.espncricinfo.com/ci/content/records/307847.html","2017","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2017;type=year","Test # 2280","https://stats.espncricinfo.com/ci/engine/match/1122887.html","Extras","8","","null","null","null","null"
"1603230646-3193","https://stats.espncricinfo.com/ci/content/records/307847.html","2018","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2018;type=year","Test # 2320","https://stats.espncricinfo.com/ci/engine/match/1157370.html","","null","null","null","null","null","null"
"1603231053-5485","https://stats.espncricinfo.com/ci/content/records/307847.html","2016","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2016;type=year","Test # 2216","https://stats.espncricinfo.com/ci/engine/match/913647.html","JM Bairstowʠ","55","93","151","7","0","59.13"
"1603230789-4014","https://stats.espncricinfo.com/ci/content/records/307847.html","2017","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2017;type=year","Test # 2283","https://stats.espncricinfo.com/ci/engine/match/1122724.html","HDRL Thirimanne","9","58","86","0","0","15.51"
"1603230802-4083","https://stats.espncricinfo.com/ci/content/records/307847.html","2017","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2017;type=year","Test # 2280","https://stats.espncricinfo.com/ci/engine/match/1122887.html","CR Ervine","0","7","12","0","0","0.00"
"1603231336-6960","https://stats.espncricinfo.com/ci/content/records/307847.html","2014","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2014;type=year","Test # 2147","https://stats.espncricinfo.com/ci/engine/match/742615.html","Mohammad Hafeez","197","316","434","25","3","62.34"
"1603230649-3224","https://stats.espncricinfo.com/ci/content/records/307847.html","2018","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2018;type=year","Test # 2319","https://stats.espncricinfo.com/ci/engine/match/1157752.html","","null","null","null","null","null","null"
"1603230736-3740","https://stats.espncricinfo.com/ci/content/records/307847.html","2018","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2018;type=year","Test # 2296","https://stats.espncricinfo.com/ci/engine/match/1130745.html","","null","null","null","null","null","null"
"1603230963-4972","https://stats.espncricinfo.com/ci/content/records/307847.html","2016","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2016;type=year","Test # 2240","https://stats.espncricinfo.com/ci/engine/match/1000881.html","","null","null","null","null","null","null"
"1603230953-4894","https://stats.espncricinfo.com/ci/content/records/307847.html","2016","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2016;type=year","Test # 2243","https://stats.espncricinfo.com/ci/engine/match/936147.html","D Elgar","45","98","164","5","0","45.91"
